name,logo_url,industry,hq_location,homepage_url,total_funding,round_name,last_funding,top_3_investors,funding_date,cb_link,favorite,description
"Doconomy","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/rj3uy5rcqhpts6dg7xjs","Fintech","Sweden","https://doconomy.com/",55.8,"Series B",36.8,"Mastercard, Tenity, Citi Ventures",30.05.2024,"https://www.crunchbase.com/organization/doconomy","false","Doconomy is a Sweden-based fintech company that offers digital banking services.","CommerzVentures"
"Dust","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/84b8ea02cff644d4960e3bbbc942baaf","Artificial Intelligence","France","https://dust.tt/",21.5,"Series A",16,"Seedcamp, Tiny VC, XYZ Venture Capital",27.06.2024,"https://www.crunchbase.com/organization/dust-5f56","false","Dust is a modular technology platform that builds customized AI assistance to enhance and optimize workflows.","Sequoia Capital"
"EthonAI","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/bu13utsfmuc9plokr7nw","Industrial Automation","Switzerland","https://ethon.ai/",24.8,"Series A",16.6,"Earlybird Venture Capital, La Famiglia, Founderful",30.05.2024,"https://www.crunchbase.com/organization/ethonai","false","EthonAI is an AI-powered platform that detects and prevents quality defects in manufacturing.","Index Ventures"
"Feather","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/h05r15bumpz5vvgzftbe","Insurtech","Germany","https://feather-insurance.com",10.7,"Series A",6.4,"Entrepreneur First, Plural Platform, Taavet Hinrikus",28.06.2024,"https://www.crunchbase.com/organization/popsure","false","Feather is an insurance advisory and management platform for clients to get the right insurance policies.","Keen Venture Partners"
"Fetcherr","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/os9r2pxw6rt8c1eqt0rn","Artificial Intelligence","Israel","http://fetcherr.io/",114.5,"Series B",90,"Left Lane Capital, Battery Ventures, M-Fund Club",26.06.2024,"https://www.crunchbase.com/organization/fetcherr","false","Fetcherr is an AI-powered price intelligence engine that uses proprietary algorithms to predict a price on anything.","Battery Ventures"
"Finmid","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/cwalokkeekfshxqxrrly","Fintech","Germany","https://finmid.com",38.9,"Series A",24.4,"Earlybird Venture Capital, Blossom Capital, Maximilian Tayenthal",16.04.2024,"https://www.crunchbase.com/organization/finmid","false","Finmid enables software companies to integrate financial services into their product portfolio through a single API integration.","Blossom Capital"
"FINN","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/bwriv1zlw0kwxkylqmzs","Automotive","Germany","https://www.finn.com",1046.3,"Venture Round",1.1,"Heliad Equity Partners, White Star Capital, Heartcore Capital",08.04.2024,"https://www.crunchbase.com/organization/finn-b149","false","FINN provides mobility solution by offering monthly car subscriptions through their online platform.","Toloka.vc"
"FintechOS","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/f8sfxfyjpxrngs7rsef1","Fintech","United Kingdom","https://www.fintechos.com",151.1,"Series B",60,"Molten Ventures, Earlybird Venture Capital, OTB Ventures",30.05.2024,"https://www.crunchbase.com/organization/fintechos","false","FintechOS is a fintech company that provides retail banking overview, personal lending, mortgage automation, and general insurance.","Molten Ventures"
"Flatpay","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/hvzzgwycnz5gcuq1pmur","Fintech","Denmark","https://flatpay.com",67.8,"Series B",48,"Dawn Capital, Seed Capital, Philippe Teixeira da Mota",17.04.2024,"https://www.crunchbase.com/organization/flatpay","false","Flatpay is a fintech company that offers Point of Service (POS) and payments processing solutions for small and medium-sized merchants.","Dawn Capital"
"Futura","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/fiygnv3rfjggnoacrhnp","Edtech","Italy","https://www.futura.study",16.9,"Series A",15,"Eurazeo, Exor Ventures, United Ventures",07.05.2024,"https://www.crunchbase.com/organization/futura-8ee6","false","Futura provides personalized learning using data driven approach and modular classes that adapt to student's Individual needs.","Eurazeo"
"Gorilla","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/wbvyflhzql3o2oa8swii","SaaS","Belgium","https://gorilla.co",31,"Series B",24.7,"Beringea, PMV, Headline",12.06.2024,"https://www.crunchbase.com/organization/gorilla-a35e","false","Data-driven solutions for utility pricing, forecasting and reporting.","Headline"
"Granola","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/qpnnymgghgk0hjy46lws","Artificial Intelligence","United Kingdom","https://www.granola.so",4.3,"Venture Round",4.3,"Betaworks, Lightspeed India Partners, Soleio Soleio",22.05.2024,"https://www.crunchbase.com/organization/granola","false","AI note-taking solution","Lightspeed India Partners"
"Grey Wolf Therapeutics","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/qxnitdw4tuvttwhtohm6","Biotechnology","United Kingdom","http://www.greywolftherapeutics.com/",122.3,"Series B",50,"Andera Partners, Oxford Science Enterprises, Earlybird Venture Capital",23.05.2024,"https://www.crunchbase.com/organization/greywolf-therapeutics","false","Small molecules to increase tumor detection by the immune system","Intermediate Capital Group"
"Harbor Lab","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/jdda26ggyrg42v8fbel2","SaaS","Greece","https://www.harborlab.com/",22.4,"Series A",16,"Notion Capital, TMV, VentureFriends",15.05.2024,"https://www.crunchbase.com/organization/harbor-lab","false","Harbor Lab provides software for ship owners, management companies, and charterers' internal disbursements departments.","Atomico"
"Hero","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ue1bpjwkqydi1ncihbmq","Fintech","France","https://www.heropay.eu",25.6,"Series A",12.1,"Valar Ventures, SquareOne Venture Capital, Motive Ventures",20.06.2024,"https://www.crunchbase.com/organization/hero-4142","false","Hero is a B2B payments and financing platform, offer direct online payment experience and receive your money immediately.","Valar Ventures"
"Hive","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ejorl9dx4sadzp2wyfav","Logistics","Germany","https://hive.app",74,"Series A",19.5,"Alfa8, Earlybird Venture Capital, Activant Capital",24.06.2024,"https://www.crunchbase.com/organization/hive-7176","false","Hive stores and ships products for small and medium-sized online merchants the next day.","Earlybird Venture Capital"
"Infogrid","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/c284yfk5nasbcxucblsd","Construction Software","United Kingdom","https://infogrid.io",148.5,"Series B",13,"JLL Spark, The Venture Collective, A/O",22.04.2024,"https://www.crunchbase.com/organization/infogrid-d81e","false","Infogrid is an AI technology company that automates building management.","Keyframe Capital Partners"
"Insempra","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/vxac5vrejvjo7ptcrini","Biotechnology","Germany","https://insempra.bio",36.6,"Series A",20,"Henkel dx Ventures, BlueYard Capital, Bayern Kapital",08.05.2024,"https://www.crunchbase.com/organization/origin-bio","false","Insempra is a biotechnology-powered company enabling businesses to transform their ingredient lists with superior bio-based products.","EQT Ventures"
"LabGenius","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/nwyua6gljd2dadhlphd4","Biotechnology","United Kingdom","http://www.labgeni.us",73.1,"Series B",44.5,"Octopus Ventures, Inovia Capital, Obvious Ventures",21.05.2024,"https://www.crunchbase.com/organization/labgenius","false","LabGenius uses a machine learning-driven evolution engine to develop protein therapeutics.","M Ventures"
"Luzia","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/aezyrywpby0t5mcoh1tu","Chatbot","Spain","https://luzia.com",31.6,"Venture Round",19,"Abstract Ventures, A* Capital, monashees",08.05.2024,"https://www.crunchbase.com/organization/lightia","false","Luzia is a developer of an AI powered personal assistant designed to help in every day life.","monashees"
"M^0 Labs","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/xurf5v9xvlputscvrm1z","Blockchain","Germany","https://m0.xyz",57.5,"Series A",35,"Galaxy Digital, Earlybird Venture Capital, Wintermute",05.06.2024,"https://www.crunchbase.com/organization/m-0-labs","false","M^0 is the infrastructure powering the first open federation of cryptodollar issuers.","Bain Capital Crypto"
"MagnusMetal","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/yhikccxfeipty8yqjswq","Manufacturing","Israel","https://magnusmetal.com/",74,"Series B",74,"Target Global, Entré Capital, Caterpillar Ventures",18.04.2024,"https://www.crunchbase.com/organization/magnusmetal","false","MagnusMetal offers digital casting solutions for metal alloys.","Entrée Capital"
"MARKT-PILOT","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/zyklirfsapujybq0e8nn","Mnufacturing Software","Germany","https://www.markt-pilot.com",49.7,"Series A",43,"Capnamic Ventures, Insight Partners",23.04.2024,"https://www.crunchbase.com/organization/markt-pilot","false","MARKT-PILOT develops software to optimize machine manufacturers' spare parts business through market-driven pricing.","Insight Partners"
"Materrup","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/nvngd6iymn6vqzqlzgrg","Construction Materials","France","https://www.materrup.com",30.3,"Series A",27.8,"Argiduna Capital, Eurazeo, European Innovation Council",20.06.2024,"https://www.crunchbase.com/organization/materrup","false","Materrup is a building materials market.","Eurazeo"
"Midas","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/s9sbd0vbzupt0jxndee8","Fintech","Turkey","https://www.getmidas.com",57,"Series A",45,"Earlybird Venture Capital, International Finance Corporation, Portage Ventures",19.04.2024,"https://www.crunchbase.com/organization/midas-5fe5","false","Midas is the first neobroker of Turkey, providing zero commission Turkish and American stocks.","Portage Ventures"
"Mimo","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/zhadbanxiaos10hoyigi","Fintech","United Kingdom","https://www.mimohq.com/",19.5,"Series A",19.5,"Seedcamp, Cocoa, Upfin",11.04.2024,"https://www.crunchbase.com/organization/mimo-71e8","false","Mimo offers a beautiful, easy-to-use tool to manage, understand and control payments and cash flow saving you time and money.","Northzone"
"Mistral AI","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ekqxvomyil4eprfmiu6j","Artificial Intelligence","France","https://mistral.ai",1187.7,"Series B",502.1,"Millennium New Horizons, NVIDIA, Eurazeo",11.06.2024,"https://www.crunchbase.com/organization/mistral-ai","false","Mistral AI is an AI startup that provides developers and businesses access to open and portable generative AI solutions.","General Catalyst"
"Neural Concept","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/sbavu7ttdby3ao9cneoj","Industrial Automation","Switzerland","https://neuralconcept.com/",36.8,"Series B",27,"Aster, D. E. Shaw & Co., Venture Kick",03.06.2024,"https://www.crunchbase.com/organization/neural-concept","false","Neural Concept revolutionizes industrial engineering design with AI Deep Learning algorithms","Forestay Capital"
"Nivoda","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/dwrwqszxsxxyhjzyka4v","Marketplace","United Kingdom","https://nivoda.net/",41,"Series B",30,"Entrepreneur First, Abstract Ventures, Avenir Growth Capital",06.05.2024,"https://www.crunchbase.com/organization/nivoda","false","Nivoda is the B2B marketplace for diamonds & jewellery - the fastest, easiest and most profitable way to buy and sell diamonds","Avenir Growth Capital"
"Nory AI","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/imlmbqgk4vqok3i3xxqf","Hospitality Tech","Ireland","https://nory.ai",25.7,"Series A",15.9,"Playfair Capital, Triple Point Ventures, Enterprise Ireland",22.05.2024,"https://www.crunchbase.com/organization/skueeze","false","Nory is a restaurant management platform with features like AI-powered business intelligence, inventory control, and employee management.","Accel"
"Omi","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/lqgcd2ahpca6ava8m1ol","E-commerce","France","https://www.omi.so",20.3,"Series A",13.9,"Dawn Capital, Founders Future, Nadav Ben-Chanoch",16.06.2024,"https://www.crunchbase.com/organization/omi-b0a0","false","Omi is a 3D application that offers e-commerce and social media solutions.","Dawn Capital"
"ONUM","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/oscsyo4qopmmxokzym4t","Data Management","Spain","https://onum.com/",40.2,"Series A",27.7,"Dawn Capital, Insight Partners, AWS Startup Loft Accelerator",10.04.2024,"https://www.crunchbase.com/organization/signalit","false","Gain control of your data with real-time observations, filtering, enrichment, and orchestration.","Dawn Capital"
"OSCAR","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ssozkok5omnrbuaugpai","Marketplace","Portugal","https://oscar-app.com",6.5,"Venture Round",6.5,"Indico Capital Partners, Accel, Lince Capital",29.05.2024,"https://www.crunchbase.com/organization/oscar-4e53","false","On-demand app for home services with fixed prices.","Indico Capital Partners"
"Pactio","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/aqqjq2sl3gsgeoyxsto5","Fintech","United Kingdom","https://pactio.io",18.3,"Series A",13.8,"EQT Ventures, Tom Greenwood, Matt Henderson",10.04.2024,"https://www.crunchbase.com/organization/pactio-5e4d","false","Pactio is a fintech startup that provides automation software to transform the way Private Equity deals are executed.","EQT Ventures"
"Parloa","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/guxns58mjy5mlocqdcgn","Chatbot","Germany","https://parloa.com",92,"Series B",66,"La Famiglia, Mosaic Ventures, Newion",24.04.2024,"https://www.crunchbase.com/organization/parloa","false","Parloa is a conversational AI platform that helps businesses in automating their service channels.","Altimeter Capital"
"Payflows","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/rwbjybpslibvit1nni84","Fintech","France","https://www.payflows.io/",32.1,"Series A",26.6,"The Twenty Minute VC, Ribbit Capital, Christer Holloman",22.04.2024,"https://www.crunchbase.com/organization/payflows","false","Payflows is a FinTech company that develops a SaaS platform for finance teams.","Balderton Capital"
"Plancraft","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/jdutjakqjmcrwoi6jlpl","SaaS","Germany","https://plancraft.de",15.1,"Series A",13.1,"Creandum, BitStone Capital, xdeck",05.06.2024,"https://www.crunchbase.com/organization/plancraft","false","easy SaaS for craftsmen & contractors","Creandum"
"PlanerAI","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/kxfrue0vnqjcexabza72","Artificial Intelligence","Germany","https://planerai.de",8,"Series A",8,"Earlybird Venture Capital, ETF Partners, LBBW VC",18.04.2024,"https://www.crunchbase.com/organization/planerai","false","AI-based planning solution for fresh goods -","ETF Partners"
"Prewave","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/bhrc16hak5dl8pd6kzsu","Supply Chain Management","Austria","https://www.prewave.com",98.2,"Series B",67.6,"Creandum, Ventech, KOMPAS VC",25.06.2024,"https://www.crunchbase.com/organization/prewave","false","Prewave is an AI risk and sustainability monitoring platform for purchasing, supply chain, and sustainability managers.","Hedosophia"
"Prothea Technologies","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ssnt8nj0kbun5hkrkljr","Hospital Tech","United Kingdom","https://prothea.tech",13,"Series A",13,"Earlybird Venture Capital, Mérieux Equity Partners, NRW.BANK",09.04.2024,"https://www.crunchbase.com/organization/prothea-technologies","false","Prothea Technologies is a private medical technology business to provide lung cancer biopsy and therapy in a single hospital visit.","Earlybird Venture Capital"
"Qargo","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/vb1imjkpcihipa9bdzqx","Logistics","United Kingdom","https://www.qargo.io",20.1,"Series A",14.1,"Stride.VC, Balderton Capital, Stephane Kurgan",06.06.2024,"https://www.crunchbase.com/organization/qargo","false","Qargo is a road transport management system.","Balderton Capital"
"re:cap","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/pfmhhd3o9u6js7wsmsah","Fintech","Germany","https://www.re-cap.com",130.5,"Series A",14.5,"Entré Capital, Chris Adelsbach, Mubadala Capital Ventures",04.06.2024,"https://www.crunchbase.com/organization/re-cap","false","re:cap enables companies in the subscription economy to trade future revenues for on-demand, non-dilutive capital.","Entrée Capital"
"Rendesco","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/k9mhgea7wlzbgvrieea1","Cleantech","United Kingdom","https://www.rendesco.com",7.7,"Venture Round",7.7,"Eurazeo, Aviva Ventures, Clean Growth Fund",13.06.2024,"https://www.crunchbase.com/organization/rendesco","false","Rendesco's mission is to transform the heating business by creating geothermal networks using ground-source heat pump technology.","Eurazeo"
"Reshape Biotech","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/zg0wl9nufuukj2fqvlkb","Biotechnology","Denmark","https://reshapebiotech.com/",28.2,"Series A",20,"21st.BIO, ACME Capital, Astanor Ventures",09.04.2024,"https://www.crunchbase.com/organization/reshape-biotech","false","Reshape Biotech builds lab robots that automate the everyday tasks of microbiologists, from filling plates to analyzing images.","Astanor Ventures"
"Resilience","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/l4wyplfti7mnkb2lofi5","Health Tech","France","https://resilience.care",76.1,"Venture Round",25,"Cathay Innovation, Exor Ventures, Seaya",21.05.2024,"https://www.crunchbase.com/organization/resilience-care","false","Resilience provides remote patient care monitoring to help improve cancer patients' quality of life and overall survival.","Picus Capital"
"Rohlik","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/extmr6jylr7lp6wdyir7","Food Delivery","Czech Republic","https://www.rohlik.group/",784.1,"Venture Round",171,"European Bank for Reconstruction and Development, European Investment Bank, Sofina",28.06.2024,"https://www.crunchbase.com/organization/rohlik","false","Rohlik is a grocery delivery company that offers a 90-minute same-day delivery service.","European Bank for Reconstruction and Development"
"Rows","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/j0khsatvusfcnyupwghq","Productivity Tools","Germany","http://rows.com",33.6,"Venture Round",8.6,"Lakestar, Atlantic Labs, Indico Capital Partners",24.05.2024,"https://www.crunchbase.com/organization/rowshq","false","Rows offers a spreadsheet tool designed for team collaboration and enhanced functionality.","Indico Capital Partners"
"Samara","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/yo5nl7kfgolroed9jvuq","Cleantech","Spain","https://www.samara.energy",16.7,"Series A",9.8,"Move Energy, Seaya, Ring Capital",06.06.2024,"https://www.crunchbase.com/organization/samara-319e","false","Samara is a solar energy company that helps households transition to a more sustainable energy model.","Move Energy"
"Sensi.Ai","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/hyanxy1ysguwip2xdxj6","Artificial Intelligence","Israel","https://www.sensi.ai",48.7,"Series B",31,"Entré Capital, Operator Partners, Flint Capital",26.06.2024,"https://www.crunchbase.com/organization/clanz-technologies","false","The first in-home virtual care agent, leveraging AI to enable home care agencies to offer 24/7 services.","Insight Partners"
"simpleclub","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/olusr9ovxgymy3xl9o0j","Edtech","Germany","https://simpleclub.com/",19.1,"Venture Round",4.4,"10x Founders, Flixfounders, 3VC",15.05.2024,"https://www.crunchbase.com/organization/simpleclub","false","Germany's most popular digital learning platform. Personalised learning, powered by the best content. For 1M+ people.","3VC"
"Sona","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/tylxpysy4gbdp7vhdsjx","HR Tech","United Kingdom","https://www.getsona.com",36.5,"Series A",27.5,"Antler, Gradient Ventures, Novator",14.05.2024,"https://www.crunchbase.com/organization/sona-905e","false","Sona is a workforce management platform for frontline enterprises.","Felicis"
"Supercede","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/anqh0fxjgapuf94tmmsb","Analytics","United Kingdom","https://supercede.com/",21.6,"Series A",15,"Seedcamp, Chris Adelsbach, Episode 1",27.06.2024,"https://www.crunchbase.com/organization/riskbook","false","Supercede makes reinsurance a win-win-win, combining outwards analytics and e-placements within a global network.","Alven"
"SurrealDB","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/enmyhccs706gekv2staj","Database","United Kingdom","https://surrealdb.com",26,"Series A",20,"Alumni Ventures, Georgian, FirstMark",18.06.2024,"https://www.crunchbase.com/organization/surrealdb","false","SurrealDB is the ultimate multi-model database for tomorrow's applications","FirstMark"
"Swap","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/jiontvbmrfg5zzfo2eim","E-commerce","United Kingdom","https://www.swap-commerce.com",9,"Series A",9,"9900 Capital, 2100 Ventures, QED Investors",30.04.2024,"https://www.crunchbase.com/organization/swap-e8bd","false","Swap is a software company that specializes in returns, exchanges, and funding for e-commerce.","QED Investors"
"TaxDown","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/sw2ffpzpftxswdwyqohe","Fintech","Spain","https://www.taxdown.es",21.6,"Venture Round",5.4,"ENISA, JME Ventures, 4Founders Capital",10.04.2024,"https://www.crunchbase.com/organization/taxdown","false","TaxDown is a Spanish startup that eases the income tax return filing process for taxpayers.","4Founders Capital"
"TechWolf","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ohgpwv4amfnnwnw0kyzo","Artificial Intelligence","Belgium","https://www.techwolf.com",55.6,"Series B",42.8,"SAP, Notion Capital, Felix Capital",24.06.2024,"https://www.crunchbase.com/organization/techwolf","false","TechWolf develops an AI-based talent intelligence platform that allows enterprises to adopt a skills-based talent model.","Felix Capital"
"Tines","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ivwfd708i9aycz6zarks","Cybersecurity","Ireland","https://www.tines.com",146.2,"Series B",50,"Blossom Capital, CrowdStrike Falcon Fund, Accel",24.04.2024,"https://www.crunchbase.com/organization/tines","false","No-code automation for security teams","Accel"
"Tiney","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/lcq74kjjgg91xz8o8ocp","Education","United Kingdom","https://www.tiney.co",16.9,"Series A",9,"JamJar Investments, Mustard Seed, Rubio Impact Ventures",13.05.2024,"https://www.crunchbase.com/organization/tiney","false","Tiney is a childcare startup providing home nurseries with early years education.","Mustard Seed"
"Wagestream","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/shbnpeaqzf3hfbfjyvxy","Fintech","United Kingdom","https://wagestream.com",278.6,"Venture Round",21.8,"Ascension, XYZ Venture Capital, Smash Capital",17.04.2024,"https://www.crunchbase.com/organization/wagestream","false","Wagestream is a financial services firm that allows employees to access a portion of their earned wages before payday.","British Patient Capital"
"alcemy","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/dvnhfvviileautqjfuan","Construction","Germany","https://alcemy.tech/",23.5,"Venture Round",10.0,"Entrepreneur First, La Famiglia, Norrsken VC",05.07.2024,"https://www.crunchbase.com/organization/alcemy","false","alcemy has built a predictive quality control AI which allows cement & concrete producers to lower costs and emit 50-70% less Co2 today","Norrsken VC"
"Fy!","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/szfnjuazzzjlsbvnlq44","E-commerce","United Kingdom","https://www.iamfy.co/",14.8,"Venture Round",3.8,"500 Global, Seedrs, Redbus Ventures",05.07.2024,"https://www.crunchbase.com/organization/fy","false","Fy! is an art, home and living marketplace leveraging unique generative AI-powered shopping experiences that are personalised for you™","Channel 4 Ventures"
