name,logo_url,industry,hq_location,homepage_url,total_funding,round_name,last_funding,top_3_investors,funding_date,cb_link,favorite,description
"Mine","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/mziibsbomo37daoxnwic","Cybersecurity","Israel","https://www.mineos.ai/",42.5,"Series B",30,"Gradient Ventures, MassMutual Ventures, PayPal Ventures",04.12.2023,"https://www.crunchbase.com/organization/saymine-technologies-mine","false","MineOS is the operating system for Data Privacy, Governance, & Compliance. #1 customer-rated for data mapping & DSR automation.","Battery Ventures"
"Motatos","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/h6fxqa6jztmz4nspbk0o","Consumer Goods","Denmark","https://www.motatos.de",151.2,"Venture Round",43.8,"EXOR N.V., Norrsken VC, Blume Equity",20.11.2023,"https://www.crunchbase.com/organization/motatos","false","Motatos is an online retail store that offers a wide variety of food, beverages, and household products to customers.","Circularity Capital"
"Mytos","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/wcg8ybinyskqbdix0zcn","Biotechnology","United Kingdom","https://www.mytos.bio/",20.8,"Series A",19,"Wing Venture Capital, Tiny VC, IQ Capital",30.11.2023,"https://www.crunchbase.com/organization/cytera-cellworks","false","Mytos is building a fully-automated cell manufacture platform for Pharma","Buckley Ventures"
"NEURA Robotics","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/m7cfqbybksnbnkopp9ht","Robotics","Germany","https://neura-robotics.com/",164.6,"Venture Round",16,"Vsquared Ventures, Lingotto, HV Capital",10.10.2023,"https://www.crunchbase.com/organization/neura-robotics","false","Neura Robotics develops robotic assistants used in both industrial and daily settings to enhance robots' cognitive abilities.","InterAlpen Partners"
"Orbem","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/tozwbllllznchvrfd8ct","Artificial Intelligence","Germany","https://orbem.ai/",41.8,"Series A",31.9,"La Famiglia, European Innovation Council, 83North",11.10.2023,"https://www.crunchbase.com/organization/orbem-ff8b","false","Orbem is a sensor-based AI breeding monitoring system.","83North"
"Orus","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ry3dtf3h7jcbikcoydze","Insurance","France","https://www.orus.eu",16.8,"Series A",11.7,"Notion Capital, Redstone, Portage Ventures",10.10.2023,"https://www.crunchbase.com/organization/orus-b6c4","false","Orus provides simple and transparent insurance coverage for small business owners.","Notion Capital"
"OXOLO","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/xvwtacx8jzjbotoiuj9e","Artificial Intelligence","Germany","https://www.oxolo.com",13.8,"Series A",13.8,"Christian Vollmann, DN Capital, Mischa Rurup",24.10.2023,"https://www.crunchbase.com/organization/oxolo","false","OXOLO provides a varied choice of AI characters to build product films that are highly appealing to clients.","DN Capital"
"PhysicsX","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/tqb02ocm5nzjieodojvv","Artificial Intelligence","United Kingdom","https://www.physicsx.ai",32,"Series A",32,"General Catalyst, NGP Energy Capital Management, Henry Kravis",27.11.2023,"https://www.crunchbase.com/organization/physicsx","false","PhysicsX is a developer of AI and simulation engineering technologies to reinvent the design and operation of machines and products.","General Catalyst"
"Poppins","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/mqwcpb3azanahejqclp6","EdTech","France","https://www.poppins.io/",13.3,"Series A",8.4,"Allianz, Verve Ventures, Techstars",18.10.2023,"https://www.crunchbase.com/organization/mila-79ab","false","We digitize music therapy into engaging products for accessible technologies.","Allianz"
"Qogita","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/r4rybfzzjdlsv93l5j9q","E-commerce","United Kingdom","https://www.qogita.com",124.7,"Series B",88.1,"Dawn Capital, Accel, Jibe Ventures",14.12.2023,"https://www.crunchbase.com/organization/qogita","false","Wholesale B2B platform aiming to drastically increase market efficiency and supply chain margins.","Dawn Capital"
